Product_ID,Category,Product_Name,Price_MYR,Store_Location
P0001,Luxury Sunglasses,Elite Polarized Shades,287.98,Lotus's Kulai
P0002,Professional Services,Personal Styling Consultation,50.14,Mydin USJ
P0003,Professional Services,Contact Lens Fitting,43.36,Melawati Mall
P0004,Designer Frames,Classic Optical Frame,134.04,Toppen Shopping Centre
P0005,Prescription Lenses,Photochromic Smart Lens,328.39,Lotus's Seberang Jaya
P0006,Luxury Sunglasses,AeroShade Sunglasses,280.95,Lotus's Seberang Jaya
P0007,Contact Lens Solutions,HydraSoft Daily Lens,77.59,Lalaport Bukit Bintang
P0008,Prescription Lenses,High-Index Ultra Lens,303.26,Freeport A'Famosa Outlet
P0009,Professional Services,Personal Styling Consultation,35.53,SKS Larkin Junction Mall
P0010,Prescription Lenses,High-Index Ultra Lens,134.86,Paya Bunga Square
P0011,Luxury Sunglasses,Elite Polarized Shades,467.54,Lotus's Rimbayu
P0012,Luxury Sunglasses,PolarX Sunglasses,407.96,Aeon Mall Kota Bharu
P0013,Prescription Lenses,Progressive OptiView Lens,312.05,Lotus's Bahau
P0014,Prescription Lenses,BlueGuard Digital Lens,240.12,Giant Jerteh
P0015,Luxury Sunglasses,AeroShade Sunglasses,341.78,Lotus's Bahau
P0016,Luxury Sunglasses,Elite Polarized Shades,492.31,Mitsui Outlet Park
P0017,Luxury Sunglasses,UVShield Sunglasses,387.24,Lotus's Desa Tebrau
P0018,Luxury Sunglasses,Vista SunPro,249.09,Lotus's Bahau
P0019,Luxury Sunglasses,Elite Polarized Shades,297.92,Mydin Gong Badak
P0020,Prescription Lenses,Photochromic Smart Lens,82.62,Lotus's Bahau
P0021,Contact Lens Solutions,HydraSoft Daily Lens,156.11,KIP Mall Desa Coalfields
P0022,Prescription Lenses,High-Index Ultra Lens,106.27,Mydin Gong Badak
P0023,Luxury Sunglasses,Vista SunPro,172.86,Mitsui Outlet Park
P0024,Contact Lens Solutions,VisionPlus Monthly Lens,57.74,Lotus's Rimbayu
P0025,Professional Services,Comprehensive Eye Exam,79.9,Giant Plentong
P0026,Professional Services,Contact Lens Fitting,102.81,Aeon Big Wangsa Maju
P0027,Luxury Sunglasses,Elite Polarized Shades,161.64,Lotus's Bahau
P0028,Designer Frames,Urban Acetate Frame,193.88,Aeon Big Wangsa Maju
P0029,Luxury Sunglasses,PolarX Sunglasses,160.8,Aeon Big Bukit Rimau
P0030,Professional Services,Contact Lens Fitting,92.54,KIP Mall Desa Coalfields
P0031,Contact Lens Solutions,MultiFocus Comfort Lens,171.06,Aeon Big Wangsa Maju
P0032,Luxury Sunglasses,Elite Polarized Shades,153.24,Mitsui Outlet Park
P0033,Luxury Sunglasses,Vista SunPro,434.42,Giant Plentong
P0034,Designer Frames,AeroFlex Frame,440.46,Giant Jerteh
P0035,Luxury Sunglasses,PolarX Sunglasses,386.91,Mitsui Outlet Park
P0036,Prescription Lenses,High-Index Ultra Lens,174.45,Toppen Shopping Centre
P0037,Prescription Lenses,BlueGuard Digital Lens,300.14,Giant Plentong
P0038,Contact Lens Solutions,VisionPlus Monthly Lens,102.91,Mydin USJ
P0039,Professional Services,Contact Lens Fitting,36.08,Mydin Kuala Terengganu
P0040,Contact Lens Solutions,Toric Precision Lens,132.42,Lotus's Rimbayu
P0041,Prescription Lenses,Photochromic Smart Lens,160.56,Lotus's Seberang Jaya
P0042,Prescription Lenses,Single Vision Lens,157.53,Lalaport Outlet Bukit Bintang
P0043,Prescription Lenses,Photochromic Smart Lens,296.46,Melawati Mall
P0044,Prescription Lenses,BlueGuard Digital Lens,226.71,Lotus's Desa Tebrau
P0045,Contact Lens Solutions,Toric Precision Lens,102.6,KIP Mall Desa Coalfields
P0046,Professional Services,Personal Styling Consultation,93.76,Melawati Mall
P0047,Designer Frames,Urban Acetate Frame,169.44,Paya Bunga Square
P0048,Luxury Sunglasses,Vista SunPro,399.23,Giant Plentong
P0049,Contact Lens Solutions,HydraSoft Daily Lens,154.83,Mydin USJ
P0050,Professional Services,Contact Lens Fitting,62.35,Giant Nilai
P0051,Luxury Sunglasses,Vista SunPro,341.31,Giant Plentong
P0052,Contact Lens Solutions,HydraSoft Daily Lens,130.16,Lotus's Kulai
P0053,Luxury Sunglasses,AeroShade Sunglasses,358.36,Lotus's Desa Tebrau
P0054,Prescription Lenses,Photochromic Smart Lens,113.03,Melawati Mall
P0055,Designer Frames,Vista Titanium Frame,241.53,Aeon Mall Nilai
P0056,Professional Services,Comprehensive Eye Exam,47.52,Mitsui Outlet Park
P0057,Prescription Lenses,High-Index Ultra Lens,328.74,Mydin Jengka
P0058,Prescription Lenses,Photochromic Smart Lens,325.2,Mydin USJ
P0059,Designer Frames,Urban Acetate Frame,337.54,Lotus's Bahau
P0060,Designer Frames,AeroFlex Frame,394.69,Lotus's Mergong
P0061,Prescription Lenses,Progressive OptiView Lens,210.15,KIP Mall Desa Coalfields
P0062,Luxury Sunglasses,PolarX Sunglasses,326.91,Freeport A'Famosa Outlet
P0063,Designer Frames,Titan Edge Frame,288.48,Lotus's Desa Tebrau
P0064,Designer Frames,Urban Acetate Frame,162.48,Mydin Kuala Terengganu
P0065,Designer Frames,Vista Titanium Frame,192.2,Mydin Kuala Terengganu
P0066,Professional Services,Vision Care Consultation,96.76,Aeon Mall Kota Bharu
P0067,Luxury Sunglasses,Vista SunPro,331.14,SKS Larkin Junction Mall
P0068,Prescription Lenses,Progressive OptiView Lens,282.19,Mitsui Outlet Park
P0069,Prescription Lenses,Single Vision Lens,346.18,SKS Larkin Junction Mall
P0070,Prescription Lenses,BlueGuard Digital Lens,329.49,Mydin Tunjong Kota Bharu
P0071,Professional Services,Vision Care Consultation,39.56,Mayang Mall Mercato
P0072,Contact Lens Solutions,VisionPlus Monthly Lens,178.59,Freeport A'Famosa Outlet
