product_id,product_name,category,product_type,brand,price_myr,description,frame_material,frame_shape,frame_color,gender,uv_protection,polarized,lens_color,frame_style,lens_type,lens_feature,lens_duration,multifocal,store_location,city,stock_status,rating,bestseller,new_arrival
P0001,Gucci Premium Frame 1,Frames,Designer Frames,Dior,484.69,Designer eyewear frame crafted with premium materials,acetate,round,brown,men,no,no,anti-reflective clear,round,bifocal,anti-reflective coating,1 year,yes,Aeon Mall Nilai,Nilai,in_stock,4.0,yes,yes
P0002,Bausch & Lomb Premium Frame 2,Frames,Designer Frames,Burberry,743.81,Designer eyewear frame crafted with premium materials,titanium,cat-eye,silver,men,no,no,clear,round,plano,anti-reflective + blue light,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.7,yes,yes
P0003,Oakley Premium Frame 3,Frames,Designer Frames,Dior,435.51,Designer eyewear frame crafted with premium materials,metal,round,black,women,no,no,anti-reflective clear,aviator,progressive,UV coating,2 years,yes,Mitsui Outlet Park,Sepang,low_stock,4.8,no,yes
P0004,Bausch & Lomb Premium Frame 4,Frames,Designer Frames,Bottega Veneta,885.21,Designer eyewear frame crafted with premium materials,metal,round,brown,women,no,no,light tint,square,single vision,blue light protection,2 years,no,Mitsui Outlet Park,Sepang,in_stock,4.6,yes,yes
P0005,Cartier Premium Frame 5,Frames,Designer Frames,Versace,826.57,Designer eyewear frame crafted with premium materials,metal,aviator,silver,unisex,no,no,clear,square,single vision,scratch-resistant,1 year,no,Melawati Mall,Kuala Lumpur,in_stock,4.3,yes,no
P0006,Tom Ford Premium Frame 6,Frames,Designer Frames,Bausch & Lomb,751.02,Designer eyewear frame crafted with premium materials,acetate,rectangle,silver,women,no,no,blue light filter clear,oversized,single vision,anti-reflective coating,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.8,yes,yes
P0007,Oakley Premium Frame 7,Frames,Designer Frames,Gentle Monster,497.26,Designer eyewear frame crafted with premium materials,acetate,cat-eye,tortoise,men,no,no,anti-reflective clear,round,single vision,scratch-resistant,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.8,no,yes
P0008,Prada Premium Frame 8,Frames,Designer Frames,Versace,759.74,Designer eyewear frame crafted with premium materials,titanium,aviator,brown,women,no,no,anti-reflective clear,round,progressive,anti-reflective coating,1 year,yes,Melawati Mall,Kuala Lumpur,low_stock,4.2,yes,no
P0009,Saint Laurent Premium Frame 9,Frames,Designer Frames,Bottega Veneta,434.06,Designer eyewear frame crafted with premium materials,acetate,rectangle,brown,men,no,no,clear,round,single vision,photochromic,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.5,no,no
P0010,Bottega Veneta Premium Frame 10,Frames,Designer Frames,Bausch & Lomb,762.98,Designer eyewear frame crafted with premium materials,titanium,aviator,black,women,no,no,clear,round,progressive,anti-reflective coating,1 year,yes,Aeon Mall Nilai,Nilai,in_stock,4.4,no,yes
P0011,RayBan Premium Frame 11,Frames,Designer Frames,Acuvue,684.93,Designer eyewear frame crafted with premium materials,acetate,aviator,gold,unisex,no,no,clear,aviator,progressive,blue light protection,1 year,yes,Aeon Mall Nilai,Nilai,low_stock,4.4,yes,no
P0012,Versace Premium Frame 12,Frames,Designer Frames,Saint Laurent,482.48,Designer eyewear frame crafted with premium materials,titanium,round,black,unisex,no,no,blue light filter clear,round,progressive,anti-reflective + blue light,1 year,yes,Melawati Mall,Kuala Lumpur,in_stock,4.9,yes,yes
P0013,Bausch & Lomb Premium Frame 13,Frames,Designer Frames,Tom Ford,495.78,Designer eyewear frame crafted with premium materials,titanium,rectangle,gold,unisex,no,no,light tint,oversized,single vision,blue light protection,2 years,no,Mitsui Outlet Park,Sepang,low_stock,4.4,no,no
P0014,Bottega Veneta Premium Frame 14,Frames,Designer Frames,Versace,473.58,Designer eyewear frame crafted with premium materials,metal,round,brown,unisex,no,no,anti-reflective clear,oversized,plano,blue light protection,2 years,no,Mitsui Outlet Park,Sepang,in_stock,4.0,yes,yes
P0015,Saint Laurent Premium Frame 15,Frames,Designer Frames,Oakley,388.97,Designer eyewear frame crafted with premium materials,acetate,aviator,silver,men,no,no,clear,oversized,bifocal,anti-reflective coating,2 years,yes,Aeon Mall Nilai,Nilai,low_stock,4.2,no,no
P0016,Bottega Veneta Premium Frame 16,Frames,Designer Frames,Bottega Veneta,712.44,Designer eyewear frame crafted with premium materials,metal,rectangle,silver,women,no,no,clear,aviator,bifocal,UV coating,1 year,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.1,no,yes
P0017,Burberry Premium Frame 17,Frames,Designer Frames,Burberry,644.96,Designer eyewear frame crafted with premium materials,acetate,rectangle,gold,women,no,no,light tint,round,single vision,scratch-resistant,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.8,yes,no
P0018,Saint Laurent Premium Frame 18,Frames,Designer Frames,Bausch & Lomb,809.82,Designer eyewear frame crafted with premium materials,acetate,square,gold,women,no,no,clear,round,single vision,hydrophobic coating,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.2,no,yes
P0019,Gentle Monster Premium Frame 19,Frames,Designer Frames,Gucci,891.92,Designer eyewear frame crafted with premium materials,metal,rectangle,tortoise,women,no,no,anti-reflective clear,round,plano,anti-reflective coating,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.2,yes,yes
P0020,Oakley Premium Frame 20,Frames,Designer Frames,Saint Laurent,377.58,Designer eyewear frame crafted with premium materials,metal,cat-eye,brown,men,no,no,light tint,aviator,single vision,anti-reflective coating,2 years,no,Aeon Mall Nilai,Nilai,in_stock,4.8,yes,yes
P0021,Gentle Monster Premium Frame 21,Frames,Designer Frames,Bottega Veneta,867.88,Designer eyewear frame crafted with premium materials,titanium,square,brown,unisex,no,no,anti-reflective clear,aviator,single vision,blue light protection,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.4,no,no
P0022,Oakley Premium Frame 22,Frames,Designer Frames,Versace,496.09,Designer eyewear frame crafted with premium materials,acetate,aviator,silver,women,no,no,clear,aviator,progressive,photochromic,1 year,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.4,yes,yes
P0023,Acuvue Premium Frame 23,Frames,Designer Frames,Dior,422.85,Designer eyewear frame crafted with premium materials,metal,round,gold,women,no,no,blue light filter clear,square,progressive,hydrophobic coating,2 years,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.4,no,yes
P0024,Bottega Veneta Premium Frame 24,Frames,Designer Frames,Prada,495.46,Designer eyewear frame crafted with premium materials,acetate,cat-eye,gold,women,no,no,anti-reflective clear,square,plano,UV coating,1 year,no,Melawati Mall,Kuala Lumpur,in_stock,4.6,yes,no
P0025,Dior Premium Frame 25,Frames,Designer Frames,Saint Laurent,400.76,Designer eyewear frame crafted with premium materials,metal,aviator,black,men,no,no,anti-reflective clear,square,single vision,photochromic,1 year,no,Mitsui Outlet Park,Sepang,in_stock,4.6,no,yes
P0026,Bausch & Lomb Premium Frame 26,Frames,Designer Frames,Oliver Peoples,658.5,Designer eyewear frame crafted with premium materials,acetate,round,gold,unisex,no,no,clear,aviator,plano,anti-reflective coating,2 years,no,Mitsui Outlet Park,Sepang,low_stock,4.5,yes,no
P0027,Saint Laurent Premium Frame 27,Frames,Designer Frames,RayBan,550.56,Designer eyewear frame crafted with premium materials,acetate,aviator,gold,unisex,no,no,clear,oversized,single vision,anti-reflective + blue light,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.3,no,yes
P0028,Tom Ford Premium Frame 28,Frames,Designer Frames,Tom Ford,834.78,Designer eyewear frame crafted with premium materials,acetate,square,tortoise,women,no,no,clear,oversized,progressive,anti-reflective coating,2 years,yes,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.1,yes,no
P0029,Projekt Produkt Premium Frame 29,Frames,Designer Frames,Versace,459.77,Designer eyewear frame crafted with premium materials,metal,aviator,tortoise,men,no,no,clear,oversized,progressive,blue light protection,2 years,yes,Aeon Mall Nilai,Nilai,in_stock,4.6,no,no
P0030,Cartier Premium Frame 30,Frames,Designer Frames,Dior,543.13,Designer eyewear frame crafted with premium materials,titanium,rectangle,brown,women,no,no,light tint,aviator,single vision,anti-reflective coating,2 years,no,Melawati Mall,Kuala Lumpur,in_stock,4.8,no,yes
P0031,Saint Laurent Premium Frame 31,Frames,Designer Frames,Bottega Veneta,678.11,Designer eyewear frame crafted with premium materials,metal,aviator,silver,unisex,no,no,anti-reflective clear,aviator,single vision,blue light protection,2 years,no,Melawati Mall,Kuala Lumpur,low_stock,4.8,yes,no
